,Model Name,accuracy,precision,recall,f1
0,Tuned Decision tree,0.8561333333333334,0.7423352021734433,0.4529026036644166,0.5613130808427034
1,Tuned Random Forest,0.8613333333333333,0.756289051065107,0.4725168756027,0.580528563620339
2,Random Forest Validated,0.858,0.7486631016042781,0.45751633986928103,0.5679513184584177
